date,favorites,id,isRetweet,retweets,text
25/02/2020 23:40,0,1232420003149820000,TRUE,6617,"RT @jaketapper: CNN: US intelligence briefer appears to have overstated assessment of 2020 Russian interference, from <U+2066>@JDiamond1<U+2069> <U+2066>@Zcohen…"
25/02/2020 23:16,0,1232414019757040000,TRUE,8452,"RT @gr8tjude_08: Cruz scorches Sotomayor over court critique, turns tables on her dissent https://t.co/Y84PtbVZqZ #FoxNews"
25/02/2020 22:52,53055,1232408152563270000,FALSE,10968,"True, but we are getting it all done! https://t.co/omwdyyPDAX"
25/02/2020 22:51,0,1232407760211340000,TRUE,11602,"RT @gr8tjude_08: Trey Gowdy to Intelligence Officials: 
Stop Briefing ‘Leaker’ Adam Schiff! 
https://t.co/dYutTqKACA"
25/02/2020 22:48,0,1232407003063910000,TRUE,4655,"RT @BrandonBeckham_: @realDonaldTrump ""Our Justice system has to be impartial."" -@JennaEllisEsq

#RogerStone deserved an impartial jury. Pr…"
25/02/2020 22:43,41251,1232405794592710000,FALSE,10836,A total miscarriage of justice! https://t.co/zHLo1NL9Sb
25/02/2020 22:01,88400,1232395209125700000,FALSE,21562,"There has rarely been a juror so tainted as the forewoman in the Roger Stone case. Look at her background. She never revealed her hatred of “Trump” and Stone. She was totally biased, as is the judge. Roger wasn’t even working on my campaign. Miscarriage of justice. Sad to watch!"
25/02/2020 16:04,0,1232305458234430000,TRUE,8221,"RT @PMOIndia: <U+092F><U+0939> <U+0938><U+0902><U+092C><U+0902><U+0927>, 21<U+0935><U+0940><U+0902> <U+0938><U+0926><U+0940> <U+0915><U+0940> <U+0938><U+092C><U+0938><U+0947> <U+092E><U+0939><U+0924><U+094D><U+0935><U+092A><U+0942><U+0930><U+094D><U+0923> <U+092A><U+093E><U+0930><U+094D><U+091F><U+0928><U+0930><U+0936><U+093F><U+092A><U+094D><U+0938> <U+092E><U+0947><U+0902> <U+0939><U+0948><U+0964>  
 
<U+0914><U+0930> <U+0907><U+0938><U+0932><U+093F><U+090F> <U+0906><U+091C> <U+0930><U+093E><U+0937><U+094D><U+091F><U+094D><U+0930><U+092A><U+0924><U+093F> Trump <U+0914><U+0930> <U+092E><U+0948><U+0902><U+0928><U+0947> <U+0939><U+092E><U+093E><U+0930><U+0947> <U+0938><U+092E><U+094D><U+092C><U+0928><U+094D><U+0927><U+094B><U+0902> <U+0915><U+094B> Comp…"
25/02/2020 16:03,0,1232305127568080000,TRUE,16963,"RT @narendramodi: Yet another excellent meeting and talks with my friend @realDonaldTrump.

Relations between India and USA are not merely…"
25/02/2020 16:03,0,1232304997880200000,TRUE,7574,RT @Scavino45: https://t.co/mORc96pSbp
25/02/2020 16:02,0,1232304947238240000,TRUE,8882,RT @Scavino45: https://t.co/pJIK3brju8
25/02/2020 16:02,115307,1232304804820460000,FALSE,25611,"Cryin’ Chuck Schumer is complaining, for publicity purposes only, that I should be asking for more money than $2.5 Billion to prepare for Coronavirus. If I asked for more he would say it is too much. He didn’t like my early travel closings. I was right. He is incompetent!"
25/02/2020 15:12,0,1232292177692310000,TRUE,7999,"RT @Judgenap: Roger Stone judge's bias may have jeopardized entire trial...
https://t.co/KBUjgjHHZw"
25/02/2020 14:58,36191,1232288843757380000,FALSE,8903,https://t.co/Cfs8RV05Pt
25/02/2020 06:50,0,1232165943813360000,TRUE,13512,RT @rashtrapatibhvn: LIVE: Ceremonial welcome of President @realDonaldTrump at Rashtrapati Bhavan https://t.co/7W4MyV7XAT
25/02/2020 06:09,54830,1232155595438010000,FALSE,12606,"....on all Trump, or Trump related, matters! While “elections have consequences”, I only ask for fairness, especially when it comes to decisions made by the United States Supreme Court!"
25/02/2020 06:09,85968,1232155591537250000,FALSE,22385,“Sotomayor accuses GOP appointed Justices  of being biased in favor of Trump.” @IngrahamAngle @FoxNews  This is a terrible thing to say. Trying to “shame” some into voting her way? She never criticized Justice Ginsberg when she called me a “faker”. Both should recuse themselves..
25/02/2020 04:29,41583,1232130591862240000,FALSE,10795,"..It has been a scam right from the beginning with the illegally started Mueller Report, FISA, the leaking, lying &amp; more. Schiff should not have access to Intelligence, he is a corrupt pol. “Amazing that they went to Bernie Sanders, but not to President Trump.” @marthamaccallum"
25/02/2020 04:29,64421,1232130587324010000,FALSE,16701,"“U.S. Intelligence official overstated assessment of Russian efforts to help Trump.” @FoxNews @GreggJarrett They supposedly told Crazy Bernie that Russia was looking at him, not me. This is all a big scam between Intel and the Democrats. They want Bernie OUT, &amp; hate “Trump”."
25/02/2020 00:19,30136,1232067592086480000,FALSE,5859,Spelled @GiannoCaldwell!
25/02/2020 00:08,64683,1232064874156520000,FALSE,14751,"Great new book just out, “Taken for Granted, How Conservatives Can Win Back Americans That Liberalism Failed”, by Gianni Caldwell, a young winner! He will be at the Ronald Reagan Library, Simi Valley, California, on Thursday at 6 PM, PT. Check it out!"
31/03/2020 18:11,0,1245005802366280000,TRUE,9599,"RT @TrumpWarRoom: WATCH: Despite looking down at his notes during his TV interview, Joe Biden was still unable to make any sense. https://t…"
31/03/2020 18:10,0,1245005512367910000,TRUE,10580,"RT @kayleighmcenany: BOOM: @realDonaldTrump obliterates CNN <U+2B07><U+FE0F>

""I want to keep the country calm.""

The coronavirus ""will go away.""

""We're…"
31/03/2020 18:02,0,1245003641221790000,TRUE,10914,"RT @Jim_Jordan: Congratulations to @MarkMeadows.

Mark is a dedicated public servant. 

He'll do a great job for President Trump and our co…"
31/03/2020 18:00,0,1245003052467260000,TRUE,5120,"RT @Scavino45: <U+0001F6A8>@Ford to produce 50,000 ventilators in Michigan in next 100 days; partnering with @GEHealthcare
#COVID19 #COVID19Updates
ht…"
31/03/2020 18:00,0,1245002941519610000,TRUE,17998,"RT @realDonaldTrump: On #NationalDoctorsDay, we recognize the remarkable men &amp; women who treat their fellow Americans, find cures for the d…"
31/03/2020 17:56,0,1245002132857790000,TRUE,5070,RT @RepMattGaetz: Our doctors and healthcare professionals are on the front lines of the coronavirus pandemic. Our prayers are with you as…
31/03/2020 17:55,57264,1245001656712000000,FALSE,11269,Thank you Mike! https://t.co/RqiQ6YdQkf
31/03/2020 17:52,0,1245001017206480000,TRUE,15900,"RT @dbongino: Cuomo: People are stealing medical supplies from hospitals
Trump: People are stealing medical supplies from hospitals
Cuomo:…"
31/03/2020 17:48,163131,1245000074167540000,FALSE,34886,"With interest rates for the United States being at ZERO, this is the time to do our decades long awaited Infrastructure Bill. It should be VERY BIG &amp; BOLD, Two Trillion Dollars, and be focused solely on jobs and rebuilding the once great infrastructure of our Country! Phase 4"
